iter	Passed	Remaining
0	1	1155
1	1	720
2	1	562
3	1	496
4	2	443
5	2	413
6	2	385
7	2	367
8	3	374
9	3	362
10	3	348
11	4	337
12	4	327
13	4	321
14	4	317
15	5	312
16	5	307
17	5	302
18	5	297
19	6	294
20	6	291
21	6	284
22	6	283
23	6	281
24	7	284
25	7	282
26	7	279
27	8	277
28	8	274
29	8	273
30	8	274
31	8	272
32	9	277
33	9	282
34	10	283
35	10	282
36	10	280
37	11	279
38	11	280
39	11	277
40	11	276
41	11	273
42	12	272
43	12	272
44	12	272
45	13	272
46	13	271
47	13	269
48	13	271
49	14	273
50	14	271
51	14	269
52	15	268
53	15	267
54	15	267
55	15	265
56	16	265
57	16	264
58	16	261
59	16	260
60	16	258
61	17	261
62	17	260
63	17	259
64	18	259
65	18	257
66	18	256
67	18	256
68	18	255
69	19	254
70	19	254
71	19	253
72	19	251
73	19	249
74	20	251
75	20	252
76	21	252
77	21	251
78	21	251
79	21	250
80	22	249
81	22	249
82	22	248
83	22	248
84	23	247
85	23	247
86	23	246
87	23	247
88	24	248
89	24	249
90	24	249
91	25	249
92	25	248
93	25	248
94	25	247
95	26	247
96	26	246
97	26	246
98	27	247
99	27	246
100	27	246
101	27	246
102	28	245
103	28	245
104	28	244
105	28	244
106	29	243
107	29	242
108	29	242
109	29	242
110	30	241
111	30	240
112	30	240
113	30	239
114	31	239
115	31	238
116	31	238
117	31	237
118	32	237
119	32	237
120	32	237
121	32	236
122	33	236
123	33	236
124	33	235
125	33	235
126	34	234
127	34	234
128	34	233
129	34	232
130	34	231
131	35	231
132	35	230
133	35	230
134	36	230
135	36	230
136	36	230
137	36	229
138	36	229
139	37	228
140	37	228
141	37	228
142	37	227
143	38	226
144	38	226
145	38	226
146	38	225
147	39	225
148	39	225
149	39	224
150	39	224
151	40	223
152	40	224
153	40	224
154	40	223
155	41	222
156	41	222
157	41	221
158	41	221
159	42	220
160	42	220
161	42	219
162	42	219
163	43	219
164	43	219
165	43	219
166	43	218
167	44	218
168	44	218
169	44	217
170	44	217
171	44	216
172	45	216
173	45	215
174	45	215
175	46	215
176	46	215
177	46	214
178	46	214
179	47	214
180	47	213
181	47	213
182	47	213
183	48	213
184	48	212
185	48	212
186	48	212
187	49	211
188	49	211
189	49	211
190	49	210
191	49	210
192	50	209
193	50	209
194	50	209
195	50	208
196	51	208
197	51	207
198	51	207
199	51	207
200	52	206
201	52	206
202	52	206
203	52	205
204	53	205
205	53	205
206	53	204
207	53	204
208	54	204
209	54	204
210	54	203
211	54	203
212	55	203
213	55	202
214	55	202
215	55	202
216	56	202
217	56	201
218	56	201
219	56	201
220	57	201
221	57	200
222	57	200
223	57	200
224	58	200
225	58	200
226	58	199
227	58	199
228	59	199
229	59	199
230	59	198
231	59	198
232	60	198
233	60	197
234	60	197
235	60	197
236	61	197
237	61	196
238	61	196
239	61	196
240	62	195
241	62	195
242	62	195
243	62	194
244	63	194
245	63	194
246	63	193
247	63	193
248	64	193
249	64	192
250	64	192
251	64	192
252	65	192
253	65	191
254	65	191
255	65	191
256	66	190
257	66	190
258	66	190
259	66	190
260	67	189
261	67	189
262	67	189
263	67	189
264	68	188
265	68	188
266	68	188
267	68	188
268	69	187
269	69	187
270	69	187
271	69	186
272	69	186
273	70	185
274	70	185
275	70	185
276	70	184
277	71	184
278	71	184
279	71	183
280	71	183
281	72	183
282	72	183
283	72	182
284	72	182
285	72	182
286	73	181
287	73	181
288	73	180
289	73	180
290	73	179
291	74	179
292	74	179
293	74	179
294	74	178
295	75	178
296	75	178
297	75	177
298	75	177
299	76	177
300	76	177
301	76	176
302	76	176
303	76	176
304	77	175
305	77	175
306	78	176
307	78	176
308	78	176
309	78	175
310	79	175
311	79	175
312	79	174
313	79	174
314	80	174
315	80	173
316	80	173
317	80	173
318	80	172
